"Model","Task_Prefix","Dataset_Name","Model_Responses","Gold_Labels","Min_K_Responses","cos_sim_scores","rouge_sim_scores","levenshtein_distance"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","

The text is a conversation between two friends, Hannah and Amanda. Hannah is","Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.","{'Min_10.0% Prob': 13.5703125, 'Min_20.0% Prob': 12.431640625, 'Min_30.0% Prob': 11.21875, 'Min_40.0% Prob': 9.76513671875, 'Min_50.0% Prob': 7.760830965909091}","0.5886193513870239","{'rouge1': Score(precision=0.125, recall=0.15384615384615385, fmeasure=0.13793103448275862), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.125, recall=0.15384615384615385, fmeasure=0.13793103448275862)}","68"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","","Eric and Rob are going to watch a stand-up on youtube.","{'Min_10.0% Prob': 14.2109375, 'Min_20.0% Prob': 12.375, 'Min_30.0% Prob': 11.70703125, 'Min_40.0% Prob': 10.011067708333334, 'Min_50.0% Prob': 8.84326171875}","0.1292480528354644","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","51"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","","Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.","{'Min_10.0% Prob': 9.5537109375, 'Min_20.0% Prob': 7.8515625, 'Min_30.0% Prob': 6.850260416666667, 'Min_40.0% Prob': 6.122802734375, 'Min_50.0% Prob': 5.143926711309524}","0.0843674317002296","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","147"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","

Summarize the conversation between Will and Emma.

Will and Emma are discussing","Emma will be home soon and she will let Will know.","{'Min_10.0% Prob': 12.3515625, 'Min_20.0% Prob': 10.6953125, 'Min_30.0% Prob': 9.859375, 'Min_40.0% Prob': 9.326171875, 'Min_50.0% Prob': 7.829752604166667}","0.653937041759491","{'rouge1': Score(precision=0.36363636363636365, recall=0.3333333333333333, fmeasure=0.34782608695652173), 'rouge2': Score(precision=0.1, recall=0.09090909090909091, fmeasure=0.09523809523809525), 'rougeL': Score(precision=0.2727272727272727, recall=0.25, fmeasure=0.2608695652173913)}","57"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum",", I'll wait for you
Jane: I'm here!
O","Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.","{'Min_10.0% Prob': 10.364583333333334, 'Min_20.0% Prob': 8.807942708333334, 'Min_30.0% Prob': 7.743923611111111, 'Min_40.0% Prob': 6.78125, 'Min_50.0% Prob': 6.063193044354839}","0.3634407520294189","{'rouge1': Score(precision=0.06976744186046512, recall=0.3, fmeasure=0.11320754716981132), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.046511627906976744, recall=0.2, fmeasure=0.07547169811320754)}","197"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","
Hilary: Bye!","Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.","{'Min_10.0% Prob': 10.036272321428571, 'Min_20.0% Prob': 8.244698660714286, 'Min_30.0% Prob': 7.1179315476190474, 'Min_40.0% Prob': 6.183728448275862, 'Min_50.0% Prob': 5.609103732638889}","0.4266630411148071","{'rouge1': Score(precision=0.017543859649122806, recall=0.5, fmeasure=0.033898305084745756), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.017543859649122806, recall=0.5, fmeasure=0.033898305084745756)}","290"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","
Max: I'm the same way with movies. What do u like?","Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.","{'Min_10.0% Prob': 12.474609375, 'Min_20.0% Prob': 10.00439453125, 'Min_30.0% Prob': 8.546223958333334, 'Min_40.0% Prob': 7.5234375, 'Min_50.0% Prob': 6.652250744047619}","0.1494778096675872","{'rouge1': Score(precision=0.13333333333333333, recall=0.3333333333333333, fmeasure=0.19047619047619044), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.25, fmeasure=0.14285714285714288)}","157"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","I wish I could just disappear for a while and not have to deal with this monotony.
","Rita and Tina are bored at work and have still 4 hours left.","{'Min_10.0% Prob': 11.7421875, 'Min_20.0% Prob': 9.502604166666666, 'Min_30.0% Prob': 8.728125, 'Min_40.0% Prob': 7.497767857142857, 'Min_50.0% Prob': 6.599609375}","0.2041698992252349","{'rouge1': Score(precision=0.15384615384615385, recall=0.11764705882352941, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.11764705882352941, fmeasure=0.13333333333333333)}","55"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","I'll take one then.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.","{'Min_10.0% Prob': 12.497395833333334, 'Min_20.0% Prob': 9.806919642857142, 'Min_30.0% Prob': 7.9362571022727275, 'Min_40.0% Prob': 6.854073660714286, 'Min_50.0% Prob': 5.660807291666667}","0.091972105205059","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}","124"
"lmsys/vicuna-13b-v1.3","Summarize the following text: ","Samsum","

Summarize the text:
Ivan and Eric are discussing whether Eric will","Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.","{'Min_10.0% Prob': 12.421875, 'Min_20.0% Prob': 11.3234375, 'Min_30.0% Prob': 8.96044921875, 'Min_40.0% Prob': 7.9146484375, 'Min_50.0% Prob': 6.659405048076923}","0.7200193405151367","{'rouge1': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.18181818181818182, fmeasure=0.125)}","77"
