Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction_x_x,GradientBoosting_probability_x_x,GradientBoosting_status,LogisticRegression_prediction_x_x,LogisticRegression_probability_x_x,LogisticRegression_status,RandomForest_prediction_x_x,RandomForest_probability_x_x,RandomForest_status,GradientBoosting_prediction_y_x,GradientBoosting_probability_y_x,GradientBoosting_label_x,LogisticRegression_prediction_y_x,LogisticRegression_probability_y_x,LogisticRegression_label_x,RandomForest_prediction_y_x,RandomForest_probability_y_x,RandomForest_label_x,GradientBoosting_prediction_x_y,GradientBoosting_probability_x_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_x_y,LogisticRegression_probability_x_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_x_y,RandomForest_probability_x_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction_y_y,GradientBoosting_probability_y_y,GradientBoosting_label_y,GradientBoosting_label_y,LogisticRegression_prediction_y_y,LogisticRegression_probability_y_y,LogisticRegression_label_y,LogisticRegression_label_y,RandomForest_prediction_y_y,RandomForest_probability_y_y,RandomForest_label_y,RandomForest_label_y,GradientBoosting_prediction,GradientBoosting_probability,LogisticRegression_prediction,LogisticRegression_probability,RandomForest_prediction,RandomForest_probability
facebook/opt-125m,Summarize the following text: ,XSum,,A leading Scottish Conservative MSP missed a parliamentary committee to referee a Champions League match in Portugal.,"{'Min_10.0% Prob': 11.065571784973145, 'Min_20.0% Prob': 10.13064161936442, 'Min_30.0% Prob': 9.340187644958496, 'Min_40.0% Prob': 8.708269459860665, 'Min_50.0% Prob': 7.775242222679986}",0.0521702915430069,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}",114,1.0,0.8219595773793024,Contaminated,1.0,0.6848618459248673,Contaminated,1.0,0.900937272723564,Contaminated,1.0,0.8219595773793024,Likely Contaminated,1.0,0.6848618459248673,Likely Contaminated,1.0,0.900937272723564,Likely Contaminated,1.0,0.9387070293758516,Likely Contaminated,Likely Contaminated,1.0,0.7036280725881628,Likely Contaminated,Likely Contaminated,1.0,0.9640436565068916,Likely Contaminated,Likely Contaminated,1.0,0.9387070293758516,Likely Contaminated,Likely Contaminated,1.0,0.7036280725881628,Likely Contaminated,Likely Contaminated,1.0,0.9640436565068916,Likely Contaminated,Likely Contaminated,1.0,0.8219595773793024,1.0,0.6848618459248673,1.0,0.900937272723564
facebook/opt-125m,Summarize the following text: ,XSum,"
Bedene's hopes of reaching the French Open semi-finals are over, but he is still",British number three Aljaz Bedene is considering switching his allegiance back to Slovenia in order to compete at the Olympics.,"{'Min_10.0% Prob': 9.833832502365112, 'Min_20.0% Prob': 8.331152558326721, 'Min_30.0% Prob': 7.040408543178013, 'Min_40.0% Prob': 6.503779517279731, 'Min_50.0% Prob': 5.829689025878906}",0.4373762607574463,"{'rouge1': Score(precision=0.15, recall=0.1875, fmeasure=0.16666666666666663), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.125, fmeasure=0.11111111111111112)}",90,1.0,0.9387070293758516,Contaminated,1.0,0.7036280725881628,Contaminated,1.0,0.9640436565068916,Contaminated,1.0,0.9387070293758516,Likely Contaminated,1.0,0.7036280725881628,Likely Contaminated,1.0,0.9640436565068916,Likely Contaminated,1.0,0.5340044366285918,Likely Contaminated,Likely Contaminated,0.0,0.4333376003968061,Likely Contaminated,Not Contaminated,1.0,0.5771638387197597,Likely Contaminated,Likely Contaminated,1.0,0.5340044366285918,Likely Contaminated,Likely Contaminated,0.0,0.4333376003968061,Likely Contaminated,Not Contaminated,1.0,0.5771638387197597,Likely Contaminated,Likely Contaminated,1.0,0.9387070293758517,1.0,0.7036280725881628,1.0,0.9640436565068917
facebook/opt-125m,Summarize the following text: ,XSum,"
The High Court ruling is the latest in a series of rulings by the Supreme Court that have been","A High Court case that could delay the Brexit process is ""a clear attempt to frustrate the will of the British people"", says a cabinet minister.","{'Min_10.0% Prob': 8.234067757924398, 'Min_20.0% Prob': 6.833103895187378, 'Min_30.0% Prob': 5.9491879145304365, 'Min_40.0% Prob': 5.334646840890248, 'Min_50.0% Prob': 4.897434584299723}",0.3809122741222381,"{'rouge1': Score(precision=0.34615384615384615, recall=0.47368421052631576, fmeasure=0.39999999999999997), 'rouge2': Score(precision=0.04, recall=0.05555555555555555, fmeasure=0.046511627906976744), 'rougeL': Score(precision=0.23076923076923078, recall=0.3157894736842105, fmeasure=0.26666666666666666)}",99,1.0,0.5340044366285918,Contaminated,0.0,0.4333376003968061,Clean,1.0,0.5771638387197597,Contaminated,1.0,0.5340044366285918,Likely Contaminated,0.0,0.4333376003968061,Not Contaminated,1.0,0.5771638387197597,Likely Contaminated,1.0,0.5220861653518083,Likely Contaminated,Likely Contaminated,1.0,0.7828339667483799,Not Contaminated,Likely Contaminated,1.0,0.7145250415219202,Likely Contaminated,Likely Contaminated,1.0,0.5220861653518083,Likely Contaminated,Likely Contaminated,1.0,0.7828339667483799,Not Contaminated,Likely Contaminated,1.0,0.7145250415219202,Likely Contaminated,Likely Contaminated,1.0,0.5340044366285918,0.0,0.4333376003968061,1.0,0.5771638387197597
facebook/opt-125m,Summarize the following text: ,XSum,"

External links

Crimestoppers

Crimestoppers

Crim","A man in his 50s has died after being seriously assaulted in Swords, County Dublin.","{'Min_10.0% Prob': 11.08505630493164, 'Min_20.0% Prob': 7.263398170471191, 'Min_30.0% Prob': 5.954425287246704, 'Min_40.0% Prob': 5.166895491736276, 'Min_50.0% Prob': 4.513252019882202}",0.0970483571290969,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",69,1.0,0.5220861653518083,Contaminated,1.0,0.7828339667483799,Contaminated,1.0,0.7145250415219202,Contaminated,1.0,0.5220861653518083,Likely Contaminated,1.0,0.7828339667483799,Likely Contaminated,1.0,0.7145250415219202,Likely Contaminated,1.0,0.7766360964433651,Likely Contaminated,Likely Contaminated,1.0,0.7291474861589738,Likely Contaminated,Likely Contaminated,1.0,0.8470714567311417,Likely Contaminated,Likely Contaminated,1.0,0.7766360964433651,Likely Contaminated,Likely Contaminated,1.0,0.7291474861589738,Likely Contaminated,Likely Contaminated,1.0,0.8470714567311417,Likely Contaminated,Likely Contaminated,1.0,0.5220861653518083,1.0,0.7828339667483799,1.0,0.7145250415219202
facebook/opt-125m,Summarize the following text: ,XSum,"
The vicar was arrested on Wednesday after a complaint was made to Durham Constabulary.
The",A vicar arrested in connection with historical sexual abuse has been suspended by the Church of England.,"{'Min_10.0% Prob': 12.527801513671875, 'Min_20.0% Prob': 11.143172264099121, 'Min_30.0% Prob': 8.361216640472412, 'Min_40.0% Prob': 7.108246939522879, 'Min_50.0% Prob': 6.183363914489746}",0.6822182536125183,"{'rouge1': Score(precision=0.23529411764705882, recall=0.26666666666666666, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.17647058823529413, recall=0.2, fmeasure=0.18750000000000003)}",75,1.0,0.7766360964433651,Contaminated,1.0,0.7291474861589738,Contaminated,1.0,0.8470714567311417,Contaminated,1.0,0.7766360964433651,Likely Contaminated,1.0,0.7291474861589738,Likely Contaminated,1.0,0.8470714567311417,Likely Contaminated,1.0,0.8865165871064069,Likely Contaminated,Likely Contaminated,1.0,0.8169766006383523,Likely Contaminated,Likely Contaminated,1.0,0.8498486160094099,Likely Contaminated,Likely Contaminated,1.0,0.8865165871064069,Likely Contaminated,Likely Contaminated,1.0,0.8169766006383523,Likely Contaminated,Likely Contaminated,1.0,0.8498486160094099,Likely Contaminated,Likely Contaminated,1.0,0.7766360964433651,1.0,0.7291474861589738,1.0,0.8470714567311417
facebook/opt-125m,Summarize the following text: ,XSum,"
The council has been contacted for comment.",A council boss has refused to say if he will honour a vow to repay compensation won in a libel case to the authority.,"{'Min_10.0% Prob': 9.722222328186035, 'Min_20.0% Prob': 8.514892101287842, 'Min_30.0% Prob': 7.962058067321777, 'Min_40.0% Prob': 7.2456413269042965, 'Min_50.0% Prob': 6.711410780747731}",0.3388559520244598,"{'rouge1': Score(precision=0.125, recall=0.42857142857142855, fmeasure=0.19354838709677416), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.2857142857142857, fmeasure=0.12903225806451613)}",90,1.0,0.8865165871064069,Contaminated,1.0,0.8169766006383523,Contaminated,1.0,0.8498486160094099,Contaminated,1.0,0.8865165871064069,Likely Contaminated,1.0,0.8169766006383523,Likely Contaminated,1.0,0.8498486160094099,Likely Contaminated,1.0,0.5965648185699093,Likely Contaminated,Likely Contaminated,1.0,0.7351540438997043,Likely Contaminated,Likely Contaminated,1.0,0.7465536143064074,Likely Contaminated,Likely Contaminated,1.0,0.5965648185699093,Likely Contaminated,Likely Contaminated,1.0,0.7351540438997043,Likely Contaminated,Likely Contaminated,1.0,0.7465536143064074,Likely Contaminated,Likely Contaminated,1.0,0.8865165871064069,1.0,0.8169766006383523,1.0,0.8498486160094099
facebook/opt-125m,Summarize the following text: ,XSum,"
It said that it was ""not a matter of whether parents are entitled to a proper education"".",A London council has withdrawn an order forcing a mother to send her home educated child to school.,"{'Min_10.0% Prob': 13.348617553710938, 'Min_20.0% Prob': 10.724198659261068, 'Min_30.0% Prob': 9.13164005279541, 'Min_40.0% Prob': 8.22687155859811, 'Min_50.0% Prob': 7.558531019422743}",0.406657725572586,"{'rouge1': Score(precision=0.2222222222222222, recall=0.23529411764705882, fmeasure=0.22857142857142856), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.17647058823529413, fmeasure=0.17142857142857143)}",73,1.0,0.5965648185699093,Contaminated,1.0,0.7351540438997043,Contaminated,1.0,0.7465536143064074,Contaminated,1.0,0.5965648185699093,Likely Contaminated,1.0,0.7351540438997043,Likely Contaminated,1.0,0.7465536143064074,Likely Contaminated,1.0,0.916838583541614,Likely Contaminated,Likely Contaminated,1.0,0.5865080686993066,Likely Contaminated,Likely Contaminated,1.0,0.9728226953359698,Likely Contaminated,Likely Contaminated,1.0,0.916838583541614,Likely Contaminated,Likely Contaminated,1.0,0.5865080686993066,Likely Contaminated,Likely Contaminated,1.0,0.9728226953359698,Likely Contaminated,Likely Contaminated,1.0,0.5965648185699093,1.0,0.7351540438997043,1.0,0.7465536143064074
facebook/opt-125m,Summarize the following text: ,XSum,"
Syngenta's shares have fallen more than 20% since the deal was announced.
The",Shares in Swiss agribusiness group Syngenta have risen 12% after its takeover by ChemChina was given the go-ahead by a US regulator.,"{'Min_10.0% Prob': 8.438359260559082, 'Min_20.0% Prob': 7.551514387130737, 'Min_30.0% Prob': 6.657208813561334, 'Min_40.0% Prob': 5.967659850915273, 'Min_50.0% Prob': 5.236534938216209}",0.6827272772789001,"{'rouge1': Score(precision=0.21739130434782608, recall=0.35714285714285715, fmeasure=0.27027027027027023), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.17391304347826086, recall=0.2857142857142857, fmeasure=0.2162162162162162)}",99,1.0,0.916838583541614,Contaminated,1.0,0.5865080686993066,Contaminated,1.0,0.9728226953359698,Contaminated,1.0,0.916838583541614,Likely Contaminated,1.0,0.5865080686993066,Likely Contaminated,1.0,0.9728226953359698,Likely Contaminated,1.0,0.6375747923012423,Likely Contaminated,Likely Contaminated,1.0,0.6443278148596338,Likely Contaminated,Likely Contaminated,1.0,0.7098296393149335,Likely Contaminated,Likely Contaminated,1.0,0.6375747923012423,Likely Contaminated,Likely Contaminated,1.0,0.6443278148596338,Likely Contaminated,Likely Contaminated,1.0,0.7098296393149335,Likely Contaminated,Likely Contaminated,1.0,0.9168385835416141,1.0,0.5865080686993066,1.0,0.9728226953359698
facebook/opt-125m,Summarize the following text: ,XSum,"
The team will be playing in the Caribbean Premier League (CPL) for the first time since","It is a drizzly Sunday morning in Guyana, and at the National Stadium a game of cricket is in full swing.","{'Min_10.0% Prob': 10.530587673187256, 'Min_20.0% Prob': 7.7994636535644535, 'Min_30.0% Prob': 6.804128987448556, 'Min_40.0% Prob': 5.824720335006714, 'Min_50.0% Prob': 5.096379188390879}",0.2383081167936325,"{'rouge1': Score(precision=0.09523809523809523, recall=0.125, fmeasure=0.1081081081081081), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.125, fmeasure=0.1081081081081081)}",75,1.0,0.6375747923012423,Contaminated,1.0,0.6443278148596338,Contaminated,1.0,0.7098296393149335,Contaminated,1.0,0.6375747923012423,Likely Contaminated,1.0,0.6443278148596338,Likely Contaminated,1.0,0.7098296393149335,Likely Contaminated,1.0,0.919948858139664,Likely Contaminated,Likely Contaminated,1.0,0.6859748825394996,Likely Contaminated,Likely Contaminated,1.0,0.9341176193417624,Likely Contaminated,Likely Contaminated,1.0,0.919948858139664,Likely Contaminated,Likely Contaminated,1.0,0.6859748825394996,Likely Contaminated,Likely Contaminated,1.0,0.9341176193417624,Likely Contaminated,Likely Contaminated,1.0,0.6375747923012423,1.0,0.6443278148596338,1.0,0.7098296393149335
facebook/opt-125m,Summarize the following text: ,XSum,"
The DfE said it was ""deeply concerned"" by the proposals and would continue to",Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,"{'Min_10.0% Prob': 10.005438804626465, 'Min_20.0% Prob': 8.991661071777344, 'Min_30.0% Prob': 8.1864515713283, 'Min_40.0% Prob': 7.391379308700562, 'Min_50.0% Prob': 6.928880453109741}",0.0217787884175777,"{'rouge1': Score(precision=0.045454545454545456, recall=0.07142857142857142, fmeasure=0.05555555555555555), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.07142857142857142, fmeasure=0.05555555555555555)}",84,1.0,0.919948858139664,Contaminated,1.0,0.6859748825394996,Contaminated,1.0,0.9341176193417624,Contaminated,1.0,0.919948858139664,Likely Contaminated,1.0,0.6859748825394996,Likely Contaminated,1.0,0.9341176193417624,Likely Contaminated,1.0,0.6926064537005,Likely Contaminated,Likely Contaminated,1.0,0.5432809161462855,Likely Contaminated,Likely Contaminated,1.0,0.7396175665579692,Likely Contaminated,Likely Contaminated,1.0,0.6926064537005,Likely Contaminated,Likely Contaminated,1.0,0.5432809161462855,Likely Contaminated,Likely Contaminated,1.0,0.7396175665579692,Likely Contaminated,Likely Contaminated,1.0,0.9199488581396639,1.0,0.6859748825394996,1.0,0.9341176193417624
facebook/opt-125m,Summarize the following text: ,XSum,"
He said: ""I am pleased that the judge has decided to sentence Kane to a risk assessment","A pensioner used a mini camera to secretly film women's bare legs in a Falkirk shopping centre, a court was told.","{'Min_10.0% Prob': 12.265601634979248, 'Min_20.0% Prob': 9.560274887084962, 'Min_30.0% Prob': 8.781075137002128, 'Min_40.0% Prob': 7.587167835235595, 'Min_50.0% Prob': 6.658046979170579}",0.1286592632532119,"{'rouge1': Score(precision=0.09090909090909091, recall=0.11764705882352941, fmeasure=0.10256410256410256), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09090909090909091, recall=0.11764705882352941, fmeasure=0.10256410256410256)}",86,1.0,0.6926064537005,Contaminated,1.0,0.5432809161462855,Contaminated,1.0,0.7396175665579692,Contaminated,1.0,0.6926064537005,Likely Contaminated,1.0,0.5432809161462855,Likely Contaminated,1.0,0.7396175665579692,Likely Contaminated,1.0,0.9072780902991008,Likely Contaminated,Likely Contaminated,1.0,0.7396787989151997,Likely Contaminated,Likely Contaminated,1.0,0.9291494488173409,Likely Contaminated,Likely Contaminated,1.0,0.9072780902991008,Likely Contaminated,Likely Contaminated,1.0,0.7396787989151997,Likely Contaminated,Likely Contaminated,1.0,0.9291494488173409,Likely Contaminated,Likely Contaminated,1.0,0.6926064537005,1.0,0.5432809161462855,1.0,0.7396175665579692
