Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_status,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_status,RandomForest_prediction,RandomForest_probability,RandomForest_status
facebook/opt-1.3b,Summarize the following text: ,Xsum,"

I'm not sure what the point of this is.

It's a good summary",About 50 firefighters tackled a large blaze at a five-storey disused mill in Greater Manchester.,"{'Min_10.0% Prob': 7.027133941650391, 'Min_20.0% Prob': 6.549672603607178, 'Min_30.0% Prob': 6.279926617940267, 'Min_40.0% Prob': 5.96650767326355, 'Min_50.0% Prob': 5.2894179105758665}",0.0270698498934507,"{'rouge1': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0625, recall=0.06666666666666667, fmeasure=0.06451612903225808)}",76,1.0,0.9519417600238494,Contaminated,1.0,0.552519646970689,Contaminated,1.0,0.9540065073815073,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
United's next game is at home to Southampton on Saturday.","Manchester United defender Marcos Rojo is a ""clean player with an aggressive nature"", says manager Jose Mourinho.","{'Min_10.0% Prob': 8.746484518051147, 'Min_20.0% Prob': 6.891265034675598, 'Min_30.0% Prob': 6.003002882003784, 'Min_40.0% Prob': 5.385945081710815, 'Min_50.0% Prob': 4.886811542510986}",0.1396797150373459,"{'rouge1': Score(precision=0.11764705882352941, recall=0.18181818181818182, fmeasure=0.14285714285714285), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.18181818181818182, fmeasure=0.14285714285714285)}",86,1.0,0.5809639763769,Contaminated,1.0,0.5833192995145496,Contaminated,1.0,0.6396529911029609,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
Zaha has been linked with a move to Manchester United, but Tohe said: ""I","Ivory Coast are confident Wilfried Zaha will soon be part of their team, but new England boss Gareth Southgate has not given up on the forward.","{'Min_10.0% Prob': 10.504257202148438, 'Min_20.0% Prob': 8.523863871892294, 'Min_30.0% Prob': 7.184849898020427, 'Min_40.0% Prob': 6.142118453979492, 'Min_50.0% Prob': 5.073781691491604}",0.4986110925674438,"{'rouge1': Score(precision=0.11538461538461539, recall=0.21428571428571427, fmeasure=0.15), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.14285714285714285, fmeasure=0.1)}",107,1.0,0.5975514609026656,Contaminated,1.0,0.6351483494161374,Contaminated,1.0,0.7807996628527114,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
The EDL march in Woolwich is due to start at 1pm.",Home Secretary Theresa May is considering banning two US bloggers from entering the UK to speak at an English Defence League rally.,"{'Min_10.0% Prob': 7.854652404785156, 'Min_20.0% Prob': 7.217351913452148, 'Min_30.0% Prob': 6.577629327774048, 'Min_40.0% Prob': 5.720479276445177, 'Min_50.0% Prob': 5.320391915061257}",0.1236407160758972,"{'rouge1': Score(precision=0.18181818181818182, recall=0.36363636363636365, fmeasure=0.24242424242424246), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13636363636363635, recall=0.2727272727272727, fmeasure=0.1818181818181818)}",104,1.0,0.74862940533971,Contaminated,1.0,0.6735280930897755,Contaminated,1.0,0.8727458409713678,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
The book is available on Amazon.com for $9.99 (£6.50).
","Meat-eaters ""easily cheat, lie, forget promises and commit sex crimes"", according to a controversial school textbook available in India.","{'Min_10.0% Prob': 10.42742919921875, 'Min_20.0% Prob': 9.34316577911377, 'Min_30.0% Prob': 8.765589773654938, 'Min_40.0% Prob': 7.968746532093395, 'Min_50.0% Prob': 7.210648196084159}",0.0840480104088783,"{'rouge1': Score(precision=0.05, recall=0.08333333333333333, fmeasure=0.0625), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.05, recall=0.08333333333333333, fmeasure=0.0625)}",112,1.0,0.6395513599958422,Contaminated,1.0,0.6826561777226839,Contaminated,1.0,0.7517585013055215,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
Attempt saved. Mohamed Salah (Egypt) header from the centre of the box is saved in",Egypt knocked out Morocco to reach the Africa Cup of Nations semi-finals as substitute Mahmoud Abdel-Moneim prodded home a dramatic 87th-minute winner.,"{'Min_10.0% Prob': 10.729277928670248, 'Min_20.0% Prob': 8.533270676930746, 'Min_30.0% Prob': 6.682937955856323, 'Min_40.0% Prob': 5.81705904006958, 'Min_50.0% Prob': 4.859834362478817}",0.3264485895633697,"{'rouge1': Score(precision=0.12, recall=0.2, fmeasure=0.15), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.12, recall=0.2, fmeasure=0.15)}",121,1.0,0.7342524152991123,Contaminated,1.0,0.6131488045791631,Contaminated,1.0,0.7368999302295086,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
The show is being held at the Royal Ulster Agricultural Society's (RUAS) Showground",The agriculture minister is to return to China next month as attempts to access markets there continue.,"{'Min_10.0% Prob': 12.464452743530273, 'Min_20.0% Prob': 9.880717913309732, 'Min_30.0% Prob': 8.23435707092285, 'Min_40.0% Prob': 7.168174198695591, 'Min_50.0% Prob': 6.30391706360711}",0.1303365379571914,"{'rouge1': Score(precision=0.17647058823529413, recall=0.21428571428571427, fmeasure=0.1935483870967742), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.14285714285714285, fmeasure=0.12903225806451615)}",80,1.0,0.7955730118073371,Contaminated,1.0,0.717288279080405,Contaminated,1.0,0.8509698710051584,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
The NCA said it was not aware of any criminal offences being committed.

I'm",National Crime Agency (NCA) detectives investigating the sale of the National Asset Management Agency's (Nama) Northern Ireland loans portfolio have interviewed a former managing partner of a Belfast legal firm.,"{'Min_10.0% Prob': 7.466241041819255, 'Min_20.0% Prob': 6.492190974099295, 'Min_30.0% Prob': 5.843604044480757, 'Min_40.0% Prob': 5.173607349395752, 'Min_50.0% Prob': 4.580077886581421}",0.4874061346054077,"{'rouge1': Score(precision=0.0967741935483871, recall=0.2, fmeasure=0.13043478260869568), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06451612903225806, recall=0.13333333333333333, fmeasure=0.08695652173913043)}",167,1.0,0.8412253424457069,Contaminated,1.0,0.5789889329589237,Contaminated,1.0,0.7715021968823166,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
""I am deeply sorry for the pain and anguish I have caused that family.""
""I","A County Tyrone car dealer, whose driving caused the death of a pensioner, has been given a community service order and a three-year driving ban.","{'Min_10.0% Prob': 9.199022928873697, 'Min_20.0% Prob': 7.511590321858724, 'Min_30.0% Prob': 6.387027740478516, 'Min_40.0% Prob': 5.489761928717296, 'Min_50.0% Prob': 4.609069690108299}",0.0743186399340629,"{'rouge1': Score(precision=0.11538461538461539, recall=0.2, fmeasure=0.14634146341463417), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07692307692307693, recall=0.13333333333333333, fmeasure=0.0975609756097561)}",109,1.0,0.8139353688466806,Contaminated,1.0,0.5670598125787284,Contaminated,1.0,0.8910291043871733,Contaminated
facebook/opt-1.3b,Summarize the following text: ,Xsum,"
She said: ""We are working with the union to ensure that the closure of Bodlond","A council's proposal to shut a Ceredigion care home comes with ""no plan"" for care provision in the area, unions have said.","{'Min_10.0% Prob': 8.859623432159424, 'Min_20.0% Prob': 7.7188239097595215, 'Min_30.0% Prob': 6.771191954612732, 'Min_40.0% Prob': 6.100041302767667, 'Min_50.0% Prob': 5.584689719336374}",0.3001962602138519,"{'rouge1': Score(precision=0.21739130434782608, recall=0.3333333333333333, fmeasure=0.26315789473684204), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13043478260869565, recall=0.2, fmeasure=0.15789473684210528)}",92,1.0,0.8444310568424788,Contaminated,1.0,0.7157575109448873,Contaminated,1.0,0.9193590079272725,Contaminated
