,Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,cos_sim_scores,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,Min_10.0%_Prob,Min_20.0%_Prob,Min_30.0%_Prob,Min_40.0%_Prob,Min_50.0%_Prob
0,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Carlisle United manager Keith Curle has criticized his team's performance following their ","Carlisle slumped to a 3-1 defeat away at Accrington Stanley .
The team's poor performance prompted a scathing assessment from manager Keith Curle who suggested some of his squad were not fit for purpose .
Carlisle are without a win in five games in League Two and just two places above the relegation zone .
The Cumbrians were relegated from League One last season and are at a serious risk of dropping out of the Football League entirely this term .",0.5552685856819153,0.10126582278481013,0.5714285714285714,0.17204301075268819,0.038461538461538464,0.23076923076923078,0.06593406593406592,0.06329113924050633,0.35714285714285715,0.10752688172043012,9.056411266326904,7.485249644831607,6.608739869347934,5.907564756197807,5.318898599974963
1,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Miami International Airport (MIA) has been the site of a high-","TSA received more than 30,000 claims of missing valuables between 2010-2014 .
Most of the missing valuables were packed in checked luggage .
Miami-Dade police set up hidden cameras as part of sting .",0.2904585301876068,0.08823529411764706,0.25,0.13043478260869565,0.0,0.0,0.0,0.058823529411764705,0.16666666666666666,0.08695652173913045,10.022169494628907,8.41904557834972,7.036048398298376,6.0967064445669,5.218966492584774
2,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Police in Arizona have arrested David Duane Watson, a 46-","Pima County Sheriffs say David Watson, 46, killed his ex Linda Watson while they fought over custody of their daughter in 2000 .
Three years later, police say Watson murdered his ex mother-in-law in a drive-by shooting at the very home where Linda Watson first vanished .
Marilyn Cox had been fighting for visitation rights over her granddaughter - she was gunned down alongside her neighbor Renee Farnsworth in 2003 .",0.5268825888633728,0.08571428571428572,0.5454545454545454,0.14814814814814814,0.0,0.0,0.0,0.04285714285714286,0.2727272727272727,0.07407407407407407,9.674860525131226,8.09657609462738,7.208922751744589,6.3837332129478455,5.6246372318267825
3,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Raheem Sterling, a 20-year-old Liverpool star","Raheem Sterling has revealed he is not ready to sign a new Liverpool deal .
The Reds wideman has struggled to repeat last season's impressive form .
The 20-year-old Liverpool star has managed just six goals this  season .
READ: Sterling insists he is not a 'money-grabbing 20-year-old'
Sterling: What he said about contract talks... and what he meant .
CLICK HERE for the latest Liverpool news .",0.7390409111976624,0.11594202898550725,0.8888888888888888,0.20512820512820512,0.07352941176470588,0.625,0.13157894736842107,0.11594202898550725,0.8888888888888888,0.20512820512820512,9.179888486862183,7.658372783660889,6.572490580876669,5.624536473576615,4.957511177249983
4,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Rebekah Gregory, a widow of Dzhokhar Tsarnaev","Survivor Jeff Bauman stresses ""we will never replace the lives that were lost""
A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer""
""Justice has been served today,"" says a once wounded police officer .",0.434963583946228,0.07317073170731707,0.375,0.12244897959183672,0.025,0.14285714285714285,0.0425531914893617,0.07317073170731707,0.375,0.12244897959183672,10.038793087005615,9.045255104700724,7.8736242983076306,7.008986830711365,6.267027537027995
5,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Career-defining actress Carey Mulligan has revealed her anger at how dementia sufferers","Carey Mulligan's grandmother suffers from Alzheimer's disease .
Margaret Booth has struggled to recognise her grandchild for eight years .
Mulligan, 29, has urged for greater awareness of the illness in society .",0.7257431745529175,0.15625,0.35714285714285715,0.21739130434782608,0.03225806451612903,0.07692307692307693,0.045454545454545456,0.125,0.2857142857142857,0.17391304347826086,8.864502906799316,7.706578625573052,7.129554528456468,6.388282352023655,5.690898501354715
6,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A couple, Leah Rogers and Ryan Flanaghan, bought a rare","Leah Rogers, 20, and Ryan Flanaghan, 22, bought bear in Bude, Cornwall .
They realised it was one of 100 1st edition Princess Diana Di Beanie Babies .
Range created in 1997 to raise money for Princess Of Wales Memorial Trust .
Couple listed bear for £20,000 on eBay and hope to raise money for house deposit .",0.3377743661403656,0.12727272727272726,0.6363636363636364,0.2121212121212121,0.05555555555555555,0.3,0.09375000000000001,0.10909090909090909,0.5454545454545454,0.1818181818181818,12.143393622504341,10.393134117126465,8.81546061379569,7.580563513856185,6.720021273227448
7,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
KFC has apologized to a shocked family after a restaurant in Oklahoma broadcast a steam","Whalen family's dinner at KFC was interrupted by sounds of a sex scene .
Gerald and April were with two young children at the Oklahoma restaurant .
Scene from risque show Outlander was broadcast on KFC's television set .",0.5072652697563171,0.15789473684210525,0.375,0.22222222222222218,0.0,0.0,0.0,0.10526315789473684,0.25,0.14814814814814814,11.597020864486694,9.794790426890055,8.562049082347325,7.8121294724313834,7.237480620543162
8,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
Arizona police chief Terry Rozema supported an officer's decision to drive his","Chief tells CNN that deadly force was warranted .
Chief: If suspect ended up shooting people, police would be answering different questions .
Incident happened February 19 in town near Tucson, Arizona .",0.2632354497909546,0.1,0.21428571428571427,0.13636363636363638,0.0,0.0,0.0,0.03333333333333333,0.07142857142857142,0.045454545454545456,10.39217472076416,9.270926833152771,8.653132478396097,8.022250056266785,7.422059273719787
9,HuggingFaceTB/SmolLM2-360M-Instruct,Summarize the following text: ,CNN-DailyMail,"assistant
A Florida police officer, Eddie Trimino, and a police car were shot","Lavall Hall, 25, was suffering psychotic episode when fatally shot by police .
His mother had called police to help take mentally ill son to hospital .
Police claim he attacked them with 'deadly force' using broom handle .
But footage from scene  appears to show Hall running away from cops .",0.30749839544296265,0.0625,0.23076923076923078,0.09836065573770492,0.0,0.0,0.0,0.041666666666666664,0.15384615384615385,0.06557377049180328,11.545591513315836,9.560575265150804,8.161583399772644,7.379124494699331,6.561346791007302
